"Dijaki po starosti, letnikih, spolu in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"LETNIK";"STAROST";"2009/10 Moški";"2009/10 Ženske";"2010/11 Moški";"2010/11 Ženske";"2011/12 Moški";"2011/12 Ženske";"2012/13 Moški";"2012/13 Ženske";"2013/14 Moški";"2013/14 Ženske";"2014/15 Moški";"2014/15 Ženske";"2015/16 Moški";"2015/16 Ženske";"2016/17 Moški";"2016/17 Ženske";"2017/18 Moški";"2017/18 Ženske";"2018/19 Moški";"2018/19 Ženske";"2019/20 Moški";"2019/20 Ženske";"2020/21 Moški";"2020/21 Ženske"
"Nižje poklicno";"1. letnik";"14 let";10;4;9;4;3;2;2;-;3;1;-;-;2;-;1;-;-;1;1;-;-;1;3;1
"Nižje poklicno";"1. letnik";"15 let";168;36;145;69;171;47;152;43;173;71;143;47;174;68;158;71;168;74;209;53;205;73;182;72
"Nižje poklicno";"1. letnik";"16 let";107;49;93;39;78;33;86;46;111;44;116;52;120;52;141;71;132;56;139;69;169;52;151;51
"Nižje poklicno";"1. letnik";"17 let";34;13;37;13;38;12;52;13;32;11;58;13;62;20;52;17;76;22;69;24;53;19;76;21
"Nižje poklicno";"1. letnik";"18 let";6;4;13;9;21;2;16;4;25;5;18;9;27;7;31;12;24;10;36;6;23;10;19;6
"Nižje poklicno";"1. letnik";"19 let";3;-;7;2;5;7;3;4;8;3;12;5;6;2;6;2;7;4;6;1;11;1;2;5
"Nižje poklicno";"1. letnik";"20 let";1;1;2;-;1;-;2;-;6;-;5;-;4;1;4;2;2;1;2;3;1;-;1;-
"Nižje poklicno";"2. letnik";"14 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"2. letnik";"15 let";3;3;7;3;11;5;2;1;1;-;2;1;-;-;2;-;-;-;-;1;1;-;-;1
"Nižje poklicno";"2. letnik";"16 let";130;41;135;37;119;63;136;51;125;39;135;63;97;35;131;48;114;62;120;59;146;45;167;63
"Nižje poklicno";"2. letnik";"17 let";81;29;87;48;79;38;80;33;72;42;89;42;89;46;88;47;106;61;96;48;104;55;128;45
"Nižje poklicno";"2. letnik";"18 let";17;9;34;12;36;8;25;9;48;18;33;13;51;15;40;15;33;11;37;15;46;18;39;19
"Nižje poklicno";"2. letnik";"19 let";6;2;6;3;8;2;18;1;8;3;22;4;24;9;18;7;22;7;14;8;23;4;15;11
"Nižje poklicno";"2. letnik";"20 let";3;-;2;2;8;-;6;-;2;2;1;-;10;2;4;2;5;2;4;1;4;1;5;1
"Nižje poklicno";"3. letnik";"14 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"3. letnik";"15 let";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"3. letnik";"16 let";3;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"3. letnik";"17 let";105;26;30;3;11;-;-;2;4;2;1;-;2;1;-;1;-;-;1;1;2;-;6;-
"Nižje poklicno";"3. letnik";"18 let";70;25;14;1;9;2;1;3;1;-;2;5;1;2;1;4;4;1;2;6;5;5;5;1
"Nižje poklicno";"3. letnik";"19 let";31;10;4;1;2;4;2;-;2;1;1;-;1;-;2;1;2;1;-;1;2;1;2;1
"Nižje poklicno";"3. letnik";"20 let";12;4;1;-;-;-;-;1;2;1;1;1;1;2;1;1;2;-;-;1;-;-;-;2
"Nižje poklicno";"4. letnik";"14 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"4. letnik";"15 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"4. letnik";"16 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"4. letnik";"17 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"4. letnik";"18 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"4. letnik";"19 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"4. letnik";"20 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"5. letnik";"14 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"5. letnik";"15 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"5. letnik";"16 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"5. letnik";"17 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"5. letnik";"18 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"5. letnik";"19 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"5. letnik";"20 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"1. letnik";"14 let";68;38;42;30;33;12;14;6;3;1;5;4;11;2;6;2;3;4;5;2;5;1;4;3
"Srednje poklicno";"1. letnik";"15 let";1605;701;1792;753;1776;728;1674;762;1786;780;1820;766;1906;812;1929;837;1901;769;1870;749;1908;769;1816;733
"Srednje poklicno";"1. letnik";"16 let";682;243;643;269;652;294;697;284;638;251;666;220;661;290;722;259;761;286;721;290;766;309;718;268
"Srednje poklicno";"1. letnik";"17 let";297;132;287;126;353;141;379;145;362;159;338;135;338;162;298;137;348;158;319;162;310;163;304;125
"Srednje poklicno";"1. letnik";"18 let";230;94;187;78;154;70;165;73;159;69;173;75;142;78;165;87;154;79;163;89;130;84;131;79
"Srednje poklicno";"1. letnik";"19 let";107;49;84;34;78;32;63;32;64;28;66;32;54;34;76;36;64;41;42;27;49;38;44;36
"Srednje poklicno";"1. letnik";"20 let";34;20;43;20;32;16;27;8;23;11;20;10;25;7;32;21;27;13;17;13;13;13;24;18
"Srednje poklicno";"2. letnik";"14 let";-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"2. letnik";"15 let";60;40;71;28;41;38;27;111;12;6;1;2;5;4;7;3;7;2;3;2;3;1;4;1
"Srednje poklicno";"2. letnik";"16 let";1640;671;1614;659;1623;690;1628;591;1559;689;1621;724;1684;707;1726;743;1761;749;1765;723;1704;692;1762;741
"Srednje poklicno";"2. letnik";"17 let";600;278;566;247;565;234;554;247;616;297;585;258;612;241;629;258;641;245;695;266;634;284;668;275
"Srednje poklicno";"2. letnik";"18 let";242;111;222;115;263;123;262;118;290;141;292;162;277;147;244;116;243;113;249;112;238;128;244;132
"Srednje poklicno";"2. letnik";"19 let";118;61;119;63;107;51;86;50;89;65;84;73;101;69;87;56;75;54;77;46;93;63;74;48
"Srednje poklicno";"2. letnik";"20 let";43;34;41;28;35;21;40;22;22;27;28;20;38;23;25;21;34;20;23;24;18;13;19;18
"Srednje poklicno";"3. letnik";"14 let";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"3. letnik";"15 let";10;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"3. letnik";"16 let";80;48;68;36;81;25;36;27;17;11;8;4;1;2;4;3;4;3;7;2;3;2;2;1
"Srednje poklicno";"3. letnik";"17 let";1676;669;1520;622;1487;625;1543;649;1520;619;1454;663;1516;673;1592;691;1640;695;1673;713;1653;686;1644;671
"Srednje poklicno";"3. letnik";"18 let";691;279;562;252;533;227;516;218;490;226;547;258;504;227;528;235;540;248;542;212;623;240;585;259
"Srednje poklicno";"3. letnik";"19 let";240;104;200;103;184;111;194;111;235;110;247;119;229;137;224;131;192;102;220;101;215;98;211;114
"Srednje poklicno";"3. letnik";"20 let";119;57;109;62;98;62;92;51;80;49;71;42;71;54;82;60;71;47;62;45;69;37;81;55
"Srednje poklicno";"4. letnik";"14 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"4. letnik";"15 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"4. letnik";"16 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"4. letnik";"17 let";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-
"Srednje poklicno";"4. letnik";"18 let";3;-;3;-;-;-;3;-;3;-;4;4;1;-;4;3;7;4;4;1;9;-;6;2
"Srednje poklicno";"4. letnik";"19 let";3;3;1;3;1;4;6;3;3;5;4;2;7;2;2;1;5;1;4;5;3;1;5;-
"Srednje poklicno";"4. letnik";"20 let";1;-;1;3;3;-;3;2;1;2;-;1;3;1;1;-;2;1;1;2;4;1;2;1
"Srednje poklicno";"5. letnik";"14 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"5. letnik";"15 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"5. letnik";"16 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"5. letnik";"17 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"5. letnik";"18 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"5. letnik";"19 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje poklicno";"5. letnik";"20 let";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Srednje tehniško in drugo strokovno";"1. letnik";"14 let";181;214;155;148;56;92;13;17;9;6;13;8;5;18;12;12;8;4;6;19;4;15;4;12
"Srednje tehniško in drugo strokovno";"1. letnik";"15 let";3704;3194;3750;3136;3736;3289;3629;3234;3907;3366;3782;3270;3933;3565;3692;3309;3746;3415;3600;3290;3689;3446;3852;3429
"Srednje tehniško in drugo strokovno";"1. letnik";"16 let";413;372;403;399;452;409;458;407;439;366;435;353;396;339;452;366;509;403;459;419;547;406;459;383
"Srednje tehniško in drugo strokovno";"1. letnik";"17 let";152;61;71;64;60;63;83;69;72;57;62;62;71;52;72;44;73;68;87;55;63;65;75;50
"Srednje tehniško in drugo strokovno";"1. letnik";"18 let";29;29;20;25;18;35;59;25;20;32;13;32;26;20;22;21;18;21;21;18;18;14;18;17
"Srednje tehniško in drugo strokovno";"1. letnik";"19 let";11;9;15;14;15;6;8;14;9;12;10;15;8;9;8;8;6;12;6;7;2;4;2;6
"Srednje tehniško in drugo strokovno";"1. letnik";"20 let";7;8;12;11;5;3;6;5;4;5;3;6;5;4;4;7;3;5;3;3;1;1;3;2
"Srednje tehniško in drugo strokovno";"2. letnik";"14 let";4;6;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
