"Diplomanti terciarnega izobraževanja po vrsti izobraževanja in obèini stalnega prebivališèa, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"OBÈINE";"2009 Število diplomantov";"2010 Število diplomantov";"2011 Število diplomantov";"2012 Število diplomantov";"2013 Število diplomantov";"2014 Število diplomantov";"2015 Število diplomantov";"2016 Število diplomantov";"2017 Število diplomantov";"2018 Število diplomantov";"2019 Število diplomantov";"2020 Število diplomantov"
"Višje strokovno";"Ajdovšèina";19;25;26;26;24;13;19;10;15;11;15;13
"Višje strokovno";"Ankaran/Ancarano";-;-;-;-;-;-;2;-;-;1;1;-
"Višje strokovno";"Apaèe";6;4;9;9;6;1;4;2;3;4;2;1
"Višje strokovno";"Beltinci";11;15;29;14;9;6;5;7;8;6;10;15
"Višje strokovno";"Benedikt";3;4;5;4;6;3;2;1;6;-;6;4
"Višje strokovno";"Bistrica ob Sotli";1;2;4;4;1;3;1;-;-;-;1;2
"Višje strokovno";"Bled";19;12;19;22;9;7;6;10;6;8;10;10
"Višje strokovno";"Bloke";2;3;4;2;1;-;4;1;2;1;1;-
"Višje strokovno";"Bohinj";8;7;12;7;9;9;8;1;5;9;7;4
"Višje strokovno";"Borovnica";12;8;12;5;5;3;2;3;6;4;7;4
"Višje strokovno";"Bovec";6;4;1;9;6;1;1;5;1;2;1;2
"Višje strokovno";"Braslovèe";10;9;13;8;4;5;2;5;4;5;5;12
"Višje strokovno";"Brda";6;3;11;5;5;11;2;-;2;2;3;2
"Višje strokovno";"Brezovica";24;24;28;27;16;13;13;11;12;5;17;18
"Višje strokovno";"Brežice";39;40;40;41;35;30;21;25;24;20;30;16
"Višje strokovno";"Cankova";1;4;4;3;2;3;4;-;1;1;-;3
"Višje strokovno";"Celje";74;89;110;63;43;50;41;44;42;32;38;41
"Višje strokovno";"Cerklje na Gorenjskem";14;13;20;19;12;11;14;9;9;16;21;10
"Višje strokovno";"Cerknica";13;25;28;17;13;18;9;10;9;14;12;12
"Višje strokovno";"Cerkno";5;8;9;8;4;8;3;1;3;7;2;4
