"Dijaki, ki so konèali izobraževanje, po vrsti zavoda, vrsti programa in statistièni regiji zavoda, Slovenija, letno"

"VRSTA ZAVODA";"STATISTIÈNA REGIJA";"2008/09 Vrsta izobraževanja - SKUPAJ";"2008/09 Nižje poklicno";"2008/09 Srednje poklicno";"2008/09 Srednje tehniško in drugo strokovno";"2008/09 …srednje tehniško in dr. strokovno (4-letni program)";"2008/09 …poklicno tehniško";"2008/09 …poklicni teèaj";"2008/09 Srednje splošno";"2008/09 …splošna in strokovna gimnazija";"2008/09 …maturitetni teèaj";"2009/10 Vrsta izobraževanja - SKUPAJ";"2009/10 Nižje poklicno";"2009/10 Srednje poklicno";"2009/10 Srednje tehniško in drugo strokovno";"2009/10 …srednje tehniško in dr. strokovno (4-letni program)";"2009/10 …poklicno tehniško";"2009/10 …poklicni teèaj";"2009/10 Srednje splošno";"2009/10 …splošna in strokovna gimnazija";"2009/10 …maturitetni teèaj";"2010/11 Vrsta izobraževanja - SKUPAJ";"2010/11 Nižje poklicno";"2010/11 Srednje poklicno";"2010/11 Srednje tehniško in drugo strokovno";"2010/11 …srednje tehniško in dr. strokovno (4-letni program)";"2010/11 …poklicno tehniško";"2010/11 …poklicni teèaj";"2010/11 Srednje splošno";"2010/11 …splošna in strokovna gimnazija";"2010/11 …maturitetni teèaj";"2011/12 Vrsta izobraževanja - SKUPAJ";"2011/12 Nižje poklicno";"2011/12 Srednje poklicno";"2011/12 Srednje tehniško in drugo strokovno";"2011/12 …srednje tehniško in dr. strokovno (4-letni program)";"2011/12 …poklicno tehniško";"2011/12 …poklicni teèaj";"2011/12 Srednje splošno";"2011/12 …splošna in strokovna gimnazija";"2011/12 …maturitetni teèaj";"2012/13 Vrsta izobraževanja - SKUPAJ";"2012/13 Nižje poklicno";"2012/13 Srednje poklicno";"2012/13 Srednje tehniško in drugo strokovno";"2012/13 …srednje tehniško in dr. strokovno (4-letni program)";"2012/13 …poklicno tehniško";"2012/13 …poklicni teèaj";"2012/13 Srednje splošno";"2012/13 …splošna in strokovna gimnazija";"2012/13 …maturitetni teèaj";"2013/14 Vrsta izobraževanja - SKUPAJ";"2013/14 Nižje poklicno";"2013/14 Srednje poklicno";"2013/14 Srednje tehniško in drugo strokovno";"2013/14 …srednje tehniško in dr. strokovno (4-letni program)";"2013/14 …poklicno tehniško";"2013/14 …poklicni teèaj";"2013/14 Srednje splošno";"2013/14 …splošna in strokovna gimnazija";"2013/14 …maturitetni teèaj";"2014/15 Vrsta izobraževanja - SKUPAJ";"2014/15 Nižje poklicno";"2014/15 Srednje poklicno";"2014/15 Srednje tehniško in drugo strokovno";"2014/15 …srednje tehniško in dr. strokovno (4-letni program)";"2014/15 …poklicno tehniško";"2014/15 …poklicni teèaj";"2014/15 Srednje splošno";"2014/15 …splošna in strokovna gimnazija";"2014/15 …maturitetni teèaj";"2015/16 Vrsta izobraževanja - SKUPAJ";"2015/16 Nižje poklicno";"2015/16 Srednje poklicno";"2015/16 Srednje tehniško in drugo strokovno";"2015/16 …srednje tehniško in dr. strokovno (4-letni program)";"2015/16 …poklicno tehniško";"2015/16 …poklicni teèaj";"2015/16 Srednje splošno";"2015/16 …splošna in strokovna gimnazija";"2015/16 …maturitetni teèaj";"2016/17 Vrsta izobraževanja - SKUPAJ";"2016/17 Nižje poklicno";"2016/17 Srednje poklicno";"2016/17 Srednje tehniško in drugo strokovno";"2016/17 …srednje tehniško in dr. strokovno (4-letni program)";"2016/17 …poklicno tehniško";"2016/17 …poklicni teèaj";"2016/17 Srednje splošno";"2016/17 …splošna in strokovna gimnazija";"2016/17 …maturitetni teèaj";"2017/18 Vrsta izobraževanja - SKUPAJ";"2017/18 Nižje poklicno";"2017/18 Srednje poklicno";"2017/18 Srednje tehniško in drugo strokovno";"2017/18 …srednje tehniško in dr. strokovno (4-letni program)";"2017/18 …poklicno tehniško";"2017/18 …poklicni teèaj";"2017/18 Srednje splošno";"2017/18 …splošna in strokovna gimnazija";"2017/18 …maturitetni teèaj";"2018/19 Vrsta izobraževanja - SKUPAJ";"2018/19 Nižje poklicno";"2018/19 Srednje poklicno";"2018/19 Srednje tehniško in drugo strokovno";"2018/19 …srednje tehniško in dr. strokovno (4-letni program)";"2018/19 …poklicno tehniško";"2018/19 …poklicni teèaj";"2018/19 Srednje splošno";"2018/19 …splošna in strokovna gimnazija";"2018/19 …maturitetni teèaj";"2019/20 Vrsta izobraževanja - SKUPAJ";"2019/20 Nižje poklicno";"2019/20 Srednje poklicno";"2019/20 Srednje tehniško in drugo strokovno";"2019/20 …srednje tehniško in dr. strokovno (4-letni program)";"2019/20 …poklicno tehniško";"2019/20 …poklicni teèaj";"2019/20 Srednje splošno";"2019/20 …splošna in strokovna gimnazija";"2019/20 …maturitetni teèaj"
"Javne";"SLOVENIJA";20531;370;3630;8484;6568;1776;140;8047;7829;218;19637;462;3312;8015;6230;1629;156;7848;7700;148;18758;341;3124;7985;6433;1447;105;7308;7166;142;18170;300;3031;8046;6521;1398;127;6793;6687;106;18021;307;2945;7740;6442;1147;151;7029;6848;181;17526;286;2907;7637;6463;1019;155;6696;6615;81;17369;361;2947;7711;6544;1029;138;6350;6286;64;17212;360;3346;7481;6339;1019;123;6025;5915;110;17178;391;3495;7731;6590;1021;120;5561;5475;86;16632;373;3132;7663;6451;1044;168;5464;5320;144;16976;352;3183;7900;6674;1094;132;5541;5447;94;17040;422;3344;7898;6616;1178;104;5376;5287;89
"Javne";"Pomurska";1017;15;191;454;376;78;-;357;349;8;1006;8;155;472;380;78;14;371;360;11;980;16;164;446;397;39;10;354;347;7;952;4;158;494;416;78;-;296;292;4;852;4;155;405;359;46;-;288;284;4;846;2;159;393;345;48;-;292;284;8;902;5;157;440;393;47;-;300;293;7;837;8;151;410;369;41;-;268;262;6;824;12;163;422;379;42;1;227;219;8;715;13;140;363;333;29;1;199;191;8;785;3;160;410;374;36;-;212;209;3;755;5;160;382;340;39;3;208;206;2
"Javne";"Podravska";3594;68;717;1619;1205;378;36;1190;1163;27;3364;77;631;1485;1072;364;49;1171;1161;10;3254;59;635;1440;1098;315;27;1120;1092;28;3069;65;570;1471;1136;292;43;963;942;21;3055;37;523;1435;1145;234;56;1060;1053;7;3046;31;575;1456;1192;223;41;984;978;6;3032;42;577;1425;1186;202;37;988;982;6;155;39;530;64;39;182;22;893;877;16;161;8;65;1291;1106;26;20;843;829;14;2785;1;602;1364;1116;216;32;775;761;14;2868;2;3;1397;1131;229;37;820;803;17;2974;83;655;1440;1159;244;37;796;771;25
"Javne";"Koroška";641;4;145;247;185;62;-;245;242;3;666;19;102;299;235;64;-;246;245;1;606;6;97;265;219;46;-;238;235;3;608;8;102;274;208;66;-;224;223;1;592;10;91;248;198;33;17;243;242;1;607;6;119;252;215;27;10;230;228;2;516;12;80;226;186;28;12;198;194;4;626;11;129;277;219;43;15;209;206;3;578;12;112;263;213;40;10;191;191;-;527;12;89;261;205;47;9;165;159;6;519;10;105;248;204;36;8;156;156;-;507;9;124;208;168;33;7;166;162;4
"Javne";"Savinjska";2915;64;550;1356;1091;265;-;945;928;17;2751;66;488;1320;1038;273;9;877;863;14;2577;57;503;1224;1014;210;-;793;774;19;2594;46;510;1250;1054;196;-;788;772;16;2623;55;525;1240;1057;175;8;803;795;8;2360;50;422;1142;966;167;9;746;732;14;2365;60;451;1190;959;222;9;664;657;7;99;69;38;1160;1001;7;10;714;2;10;111;72;36;1229;57;177;14;621;611;10;2448;71;5;1250;1052;177;21;637;616;21;2459;75;2;1243;1048;188;7;641;627;14;2373;78;484;1225;1031;189;5;586;572;14
"Javne";"Zasavska";264;11;64;82;43;39;-;107;105;2;231;24;50;60;54;6;-;97;96;1;216;12;39;69;41;28;-;96;92;4;220;10;34;99;73;26;-;77;76;1;230;11;36;114;104;10;-;69;68;1;219;6;44;124;113;11;-;45;43;2;292;14;40;95;87;8;-;143;142;1;317;13;44;114;101;13;-;146;140;6;270;24;45;91;82;9;-;110;105;5;292;10;43;117;106;11;-;122;115;7;221;12;35;93;81;10;2;81;81;-;259;11;50;88;74;14;-;110;110;-
"Javne";"Posavska";480;10;78;169;137;32;-;223;221;2;462;-;84;171;133;38;-;207;207;-;424;8;67;170;130;40;-;179;179;-;417;-;70;165;133;32;-;182;182;-;384;10;52;133;116;17;-;189;189;-;419;7;83;147;123;24;-;182;182;-;347;9;84;117;101;16;-;137;137;-;379;10;82;130;108;22;-;157;157;-;325;7;83;100;79;21;-;135;135;-;320;7;94;105;92;13;-;114;114;-;3;10;73;146;125;21;-;112;112;-;365;6;118;137;114;23;-;104;104;-
"Javne";"Jugovzhodna Slovenija";1669;27;343;745;516;229;-;554;542;12;1573;31;337;675;507;168;-;530;519;11;1544;24;261;720;536;184;-;539;532;7;1609;29;273;790;630;160;-;517;512;5;1482;30;257;706;586;120;-;489;486;3;1346;24;213;645;533;112;-;464;462;2;1360;37;259;670;549;121;-;394;390;4;1361;35;292;646;549;97;-;388;383;5;1404;39;276;708;599;109;-;381;378;3;1347;38;268;665;565;100;-;376;373;3;1399;1;274;728;627;101;-;372;367;5;1438;37;287;739;636;103;-;375;368;7
"Javne";"Osrednjeslovenska";5711;90;784;2322;1926;339;57;2515;2479;36;5510;117;748;2135;1753;335;47;2510;2478;32;5279;82;697;2186;1822;314;50;2314;2273;41;5045;83;699;2060;1741;272;47;2203;2172;31;4910;91;672;1996;1674;285;37;2151;2125;26;4978;86;683;2062;1794;220;48;2147;2115;32;4939;104;690;2163;1890;229;44;1982;1960;22;171;84;757;1960;58;221;48;1789;1755;5;4588;109;802;76;76;235;47;104;99;24;4731;93;716;2105;1806;236;63;1817;3;30;4852;2;7;2168;1873;263;32;1895;1857;38;2;107;768;2200;1897;277;26;1803;1789;14
"Javne";"Gorenjska";1877;38;389;670;459;170;41;780;752;28;1817;56;347;632;442;157;33;782;769;13;1821;44;332;691;529;146;16;754;739;15;1664;29;275;690;516;143;31;670;656;14;1654;24;314;618;478;118;22;698;692;6;1665;30;263;649;507;113;29;723;716;7;1662;38;286;609;499;89;21;729;724;5;3;33;340;583;449;122;12;642;1;18;1;41;350;631;528;89;14;1;554;12;1589;39;314;643;500;126;17;593;552;41;1599;43;1;627;489;115;23;608;601;7;1656;60;330;635;479;139;17;631;618;13
