"Dijaki, ki so konèali izobraževanje, po vrsti zavoda, vrsti programa in statistièni regiji zavoda, Slovenija, letno"

"VRSTA ZAVODA";"STATISTIÈNA REGIJA";"2008/09 Nižje poklicno";"2008/09 Srednje poklicno";"2008/09 Srednje tehniško in drugo strokovno";"2008/09 Srednje splošno";"2009/10 Nižje poklicno";"2009/10 Srednje poklicno";"2009/10 Srednje tehniško in drugo strokovno";"2009/10 Srednje splošno";"2010/11 Nižje poklicno";"2010/11 Srednje poklicno";"2010/11 Srednje tehniško in drugo strokovno";"2010/11 Srednje splošno";"2011/12 Nižje poklicno";"2011/12 Srednje poklicno";"2011/12 Srednje tehniško in drugo strokovno";"2011/12 Srednje splošno";"2012/13 Nižje poklicno";"2012/13 Srednje poklicno";"2012/13 Srednje tehniško in drugo strokovno";"2012/13 Srednje splošno";"2013/14 Nižje poklicno";"2013/14 Srednje poklicno";"2013/14 Srednje tehniško in drugo strokovno";"2013/14 Srednje splošno";"2014/15 Nižje poklicno";"2014/15 Srednje poklicno";"2014/15 Srednje tehniško in drugo strokovno";"2014/15 Srednje splošno";"2015/16 Nižje poklicno";"2015/16 Srednje poklicno";"2015/16 Srednje tehniško in drugo strokovno";"2015/16 Srednje splošno";"2016/17 Nižje poklicno";"2016/17 Srednje poklicno";"2016/17 Srednje tehniško in drugo strokovno";"2016/17 Srednje splošno";"2017/18 Nižje poklicno";"2017/18 Srednje poklicno";"2017/18 Srednje tehniško in drugo strokovno";"2017/18 Srednje splošno";"2018/19 Nižje poklicno";"2018/19 Srednje poklicno";"2018/19 Srednje tehniško in drugo strokovno";"2018/19 Srednje splošno";"2019/20 Nižje poklicno";"2019/20 Srednje poklicno";"2019/20 Srednje tehniško in drugo strokovno";"2019/20 Srednje splošno"
"Javne in zasebne šole  - SKUPAJ";"SLOVENIJA";370;3630;8484;8519;462;3312;8015;8311;341;3124;7985;7740;300;3031;8046;7245;307;2945;7740;7471;286;2907;7637;7120;361;2947;7711;6774;360;3346;7485;6451;391;3495;7738;5906;373;3132;7694;5889;352;3183;7927;5906;422;3344;7917;5805
"Javne in zasebne šole  - SKUPAJ";"Pomurska";15;191;454;357;8;155;472;371;16;164;446;354;4;158;494;296;4;155;405;288;2;159;393;292;5;157;440;300;8;151;410;268;12;163;422;227;13;140;363;199;3;160;410;212;5;160;382;208
"Javne in zasebne šole  - SKUPAJ";"Podravska";68;717;1619;1289;77;631;1485;1273;59;635;1440;1222;65;570;1471;1066;37;523;1435;1164;31;575;1456;1099;42;577;1425;1082;12;79;1250;983;8;584;88;909;1;7;1364;856;2;3;1397;877;83;655;1440;884
"Javne in zasebne šole  - SKUPAJ";"Koroška";4;145;247;245;19;102;299;246;6;97;265;238;8;102;274;224;10;91;248;243;6;119;252;230;12;80;226;198;11;129;277;209;12;112;263;191;12;89;261;165;10;105;248;156;9;124;208;166
"Javne in zasebne šole  - SKUPAJ";"Savinjska";64;550;1356;945;66;488;1320;877;57;503;1224;793;46;510;1250;788;55;525;1240;803;50;422;1142;746;60;451;1190;664;69;568;1160;714;72;594;1229;1;71;490;1250;637;75;500;1243;641;78;484;1225;586
"Javne in zasebne šole  - SKUPAJ";"Zasavska";11;64;82;107;24;50;60;97;12;39;69;96;10;34;99;77;11;36;114;69;6;44;124;45;14;40;95;143;13;44;114;146;24;45;92;110;10;43;117;122;12;35;93;81;11;50;88;110
"Javne in zasebne šole  - SKUPAJ";"Posavska";10;78;169;223;-;84;171;207;8;67;170;179;-;70;165;182;10;52;133;189;7;83;147;182;9;84;117;137;10;82;130;157;7;83;100;135;7;94;105;114;10;3;146;112;6;118;137;104
"Javne in zasebne šole  - SKUPAJ";"Jugovzhodna Slovenija";27;343;745;554;31;337;675;530;24;261;720;539;29;273;790;517;30;257;706;489;24;213;645;464;37;259;670;394;35;292;646;388;39;276;708;381;1;268;665;376;1;274;728;372;37;287;739;375
"Javne in zasebne šole  - SKUPAJ";"Osrednjeslovenska";90;784;2322;2817;117;748;2135;2783;82;697;2186;2573;83;699;2060;2475;91;672;1996;2404;86;683;2062;2399;104;690;2163;2247;84;757;1964;2060;109;802;1987;1919;93;13;2136;3;85;704;2195;2141;107;768;2217;2
"Javne in zasebne šole  - SKUPAJ";"Gorenjska";38;389;670;780;56;347;632;782;44;332;691;754;29;275;690;670;24;314;618;698;30;263;649;723;38;286;609;729;33;340;2;1;41;350;631;566;39;7;643;593;43;321;627;608;60;330;637;631
"Javne in zasebne šole  - SKUPAJ";"Primorsko-notranjska";11;51;111;155;15;56;126;142;9;55;127;116;9;56;152;98;17;65;130;134;19;78;112;78;14;67;128;92;19;77;118;101;12;78;136;64;19;51;120;73;14;96;124;72;5;84;117;49
"Javne in zasebne šole  - SKUPAJ";"Goriška";22;212;370;631;34;207;373;637;16;178;407;542;14;185;397;545;15;161;391;662;19;158;304;507;19;160;321;487;20;128;322;418;17;165;341;420;15;170;371;376;10;193;401;361;14;174;377;332
"Javne in zasebne šole  - SKUPAJ";"Obalno-kraška";10;106;339;416;15;107;267;366;8;96;240;334;3;99;204;307;3;94;324;328;6;110;351;355;7;96;327;301;7;131;328;249;9;142;300;257;5;121;299;276;5;110;315;273;7;110;350;279
