"Dijaki po starosti, letnikih, spolu in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"LETNIK";"STAROST";"2009/10 Spol - SKUPAJ";"2009/10 Moški";"2009/10 Ženske";"2010/11 Spol - SKUPAJ";"2010/11 Moški";"2010/11 Ženske";"2011/12 Spol - SKUPAJ";"2011/12 Moški";"2011/12 Ženske";"2012/13 Spol - SKUPAJ";"2012/13 Moški";"2012/13 Ženske";"2013/14 Spol - SKUPAJ";"2013/14 Moški";"2013/14 Ženske";"2014/15 Spol - SKUPAJ";"2014/15 Moški";"2014/15 Ženske";"2015/16 Spol - SKUPAJ";"2015/16 Moški";"2015/16 Ženske";"2016/17 Spol - SKUPAJ";"2016/17 Moški";"2016/17 Ženske";"2017/18 Spol - SKUPAJ";"2017/18 Moški";"2017/18 Ženske";"2018/19 Spol - SKUPAJ";"2018/19 Moški";"2018/19 Ženske";"2019/20 Spol - SKUPAJ";"2019/20 Moški";"2019/20 Ženske";"2020/21 Spol - SKUPAJ";"2020/21 Moški";"2020/21 Ženske"
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"Starost - Skupaj";85030;43730;41300;82267;42330;39937;79901;41164;38737;78208;40321;37887;76714;39717;36997;75325;38964;36361;74759;38651;36108;74021;38239;35782;73776;38030;35746;73110;37682;35428;72738;37436;35302;73854;38041;35813
"Vrsta izobraževanja - SKUPAJ";"1. letnik";"Starost - Skupaj";21731;11320;10411;21266;11218;10048;20919;11051;9868;20450;10773;9677;20264;10766;9498;19794;10530;9264;20489;10803;9686;19813;10481;9332;20180;10675;9505;19735;10362;9373;20098;10495;9603;20144;10600;9544
"Vrsta izobraževanja - SKUPAJ";"2. letnik";"Starost - Skupaj";20460;10601;9859;20220;10395;9825;19668;10224;9444;19373;10099;9274;19025;9829;9196;18883;9814;9069;18496;9636;8860;18926;9811;9115;18401;9559;8842;18540;9634;8906;18022;9250;8772;18882;9644;9238
"Vrsta izobraževanja - SKUPAJ";"3. letnik";"Starost - Skupaj";20038;10415;9623;19276;9848;9428;18953;9566;9387;18451;9449;9002;18120;9310;8810;17895;9086;8809;17658;9020;8638;17362;8821;8541;17738;8999;8739;17120;8745;8375;17395;8927;8468;17108;8637;8471
"Vrsta izobraževanja - SKUPAJ";"4. letnik";"Starost - Skupaj";18824;9381;9443;17909;8972;8937;17345;8604;8741;17181;8466;8715;16695;8335;8360;16342;8190;8152;16020;7964;8056;15924;7934;7990;15456;7621;7835;15724;7693;8031;15251;7521;7730;15755;7875;7880
"Vrsta izobraževanja - SKUPAJ";"5. letnik";"Starost - Skupaj";3977;2013;1964;3596;1897;1699;3016;1719;1297;2753;1534;1219;2610;1477;1133;2411;1344;1067;2096;1228;868;1996;1192;804;2001;1176;825;1991;1248;743;1972;1243;729;1965;1285;680
"Nižje poklicno";"Vsi letniki - SKUPAJ";"Starost - Skupaj";1055;798;257;875;629;246;836;610;226;800;586;214;871;627;244;901;644;257;944;680;264;1000;694;306;1027;710;317;1047;745;302;1095;799;296;1109;804;305
"Nižje poklicno";"1. letnik";"Starost - Skupaj";436;329;107;442;306;136;431;327;104;425;314;111;495;360;135;482;355;127;552;401;151;575;398;177;581;412;169;623;463;160;621;462;159;594;435;159
"Nižje poklicno";"2. letnik";"Starost - Skupaj";328;244;84;378;273;105;377;261;116;364;269;95;363;258;105;407;284;123;382;274;108;411;291;120;434;289;145;408;275;133;455;325;130;496;355;141
"Nižje poklicno";"3. letnik";"Starost - Skupaj";291;225;66;55;50;5;28;22;6;11;3;8;13;9;4;12;5;7;10;5;5;14;5;9;12;9;3;16;7;9;19;12;7;19;14;5
"Nižje poklicno";"4. letnik";"Starost - Skupaj";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
