"Študenti terciarnega izobraževanja po kohezijski regiji stalnega bivališèa, vrsti programa, naèinu študija in spolu, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"SPOL";"KOHEZIJSKA REGIJA";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18";"2018/19";"2019/20";"2020/21"
"Višje strokovno";"Redni";"Moški";"Vzhodna Slovenija";2293;2573;2560;2367;2393;2310;2214;2172;2089;2086;1968;1968
"Višje strokovno";"Redni";"Moški";"Zahodna Slovenija";1451;1606;1710;1698;1761;1579;1584;1585;1527;1494;1507;1545
"Višje strokovno";"Redni";"Ženske";"Vzhodna Slovenija";2387;2419;2312;2032;2239;1883;1719;1633;1439;1254;1195;1175
"Višje strokovno";"Redni";"Ženske";"Zahodna Slovenija";1324;1359;1345;1149;1501;1085;940;861;783;749;701;687
"Višje strokovno";"Izredni";"Moški";"Vzhodna Slovenija";2504;2159;1902;1747;1504;1280;1360;1324;1283;1473;1555;1502
"Višje strokovno";"Izredni";"Moški";"Zahodna Slovenija";2321;2105;1764;1741;1578;1333;1305;1303;1176;1288;1332;1275
"Višje strokovno";"Izredni";"Ženske";"Vzhodna Slovenija";2155;1648;1311;1273;1138;988;946;886;868;1022;1077;1041
"Višje strokovno";"Izredni";"Ženske";"Zahodna Slovenija";2050;1603;1346;1281;1016;925;938;998;936;922;968;986
"Visokošolsko strokovno (prejšnje)";"Redni";"Moški";"Vzhodna Slovenija";1957;1023;512;93;2;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Redni";"Moški";"Zahodna Slovenija";1865;981;508;52;1;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Redni";"Ženske";"Vzhodna Slovenija";1923;1242;558;108;5;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Redni";"Ženske";"Zahodna Slovenija";1278;865;383;53;1;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Izredni";"Moški";"Vzhodna Slovenija";710;289;156;41;14;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Izredni";"Moški";"Zahodna Slovenija";721;229;190;53;13;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Izredni";"Ženske";"Vzhodna Slovenija";880;501;200;26;2;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Izredni";"Ženske";"Zahodna Slovenija";957;501;189;31;6;1;1;-;-;-;-;-
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"Moški";"Vzhodna Slovenija";3478;3976;4420;4498;4308;4088;3614;3232;3029;2971;3019;3250
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"Moški";"Zahodna Slovenija";2709;3033;3404;3572;3399;3175;2905;2749;2693;2542;2569;2831
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"Ženske";"Vzhodna Slovenija";4440;4907;5031;5326;4968;4515;4025;3773;3627;3493;3450;3671
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"Ženske";"Zahodna Slovenija";3318;3693;3729;3851;3790;3473;3180;3095;2892;2893;2862;3096
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"Moški";"Vzhodna Slovenija";1672;1736;1731;1599;1378;1176;1192;1396;1282;1217;1243;1309
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"Moški";"Zahodna Slovenija";1722;1511;1447;1390;1174;1010;1091;1135;1180;1087;1209;1245
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"Ženske";"Vzhodna Slovenija";2493;2697;2742;2671;2317;2114;2125;2203;2180;2152;2264;2482
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"Ženske";"Zahodna Slovenija";2711;2741;2542;2480;2212;1919;1894;1944;1989;2017;2178;2431
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"Moški";"Vzhodna Slovenija";4334;4611;5446;5422;5149;4762;4367;4100;3877;3679;3557;3660
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"Moški";"Zahodna Slovenija";4054;4125;5187;5348;5154;4900;4523;4363;4122;3987;3978;4314
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"Ženske";"Vzhodna Slovenija";6314;8008;8279;8497;8107;7720;6922;6559;6142;5899;5741;6045
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"Ženske";"Zahodna Slovenija";6350;8059;8053;8419;8090;7497;6927;6662;6330;6178;6025;6464
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"Moški";"Vzhodna Slovenija";391;299;283;242;218;174;158;188;95;79;89;89
