"Študenti terciarnega izobraževanja po podroèju izobraževanja (KLASIUS-P-16, 1. raven), spolu, naèinu študija in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"PODROÈJE IZOBRAŽEVANJA (KLASIUS-P-16)";"2017/18 Spol - SKUPAJ";"2017/18 Moški";"2017/18 Ženske";"2018/19 Spol - SKUPAJ";"2018/19 Moški";"2018/19 Ženske";"2019/20 Spol - SKUPAJ";"2019/20 Moški";"2019/20 Ženske";"2020/21 Spol - SKUPAJ";"2020/21 Moški";"2020/21 Ženske"
"Vrsta izobraževanja - SKUPAJ";"Redni";"Podroèje izobraževanja - SKUPAJ";60343.0;25459.0;34884.0;59133.0;24867.0;34266.0;58867.0;25010.0;33857.0;63192.0;26790.0;36402.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";5613.0;772.5;4840.5;5428.0;741.0;4687.0;5281.5;727.0;4554.5;5636.5;821.5;4815.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"02 Umetnost in humanistika";5938.5;1908.0;4030.5;5849.0;1815.0;4034.0;5449.5;1740.5;3709.0;5912.5;1849.0;4063.5
"Vrsta izobraževanja - SKUPAJ";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";6059.0;2002.0;4057.0;5946.5;1971.0;3975.5;5938.5;1931.5;4007.0;6473.0;2111.5;4361.5
"Vrsta izobraževanja - SKUPAJ";"Redni";"04 Poslovne in upravne vede, pravo";9609.0;3426.0;6183.0;9307.0;3315.0;5992.0;9312.0;3388.0;5924.0;10156.0;3734.0;6422.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"05 Naravoslovje, matematika in statistika";4212.0;1677.5;2534.5;4169.5;1712.0;2457.5;4243.5;1780.0;2463.5;4601.0;1910.0;2691.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";3147.5;2700.0;447.5;3231.0;2751.0;480.0;3537.0;2940.0;597.0;3854.0;3164.0;690.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";11844.0;8631.0;3213.0;11625.0;8500.0;3125.0;11861.0;8546.0;3315.0;12302.0;8882.0;3420.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";2357.0;934.0;1423.0;2219.0;819.0;1400.0;2122.0;833.0;1289.0;2192.0;849.0;1343.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"09 Zdravstvo in socialna varnost";7052.0;1517.0;5535.0;7016.0;1464.0;5552.0;6918.0;1407.0;5511.0;7558.0;1546.0;6012.0
"Vrsta izobraževanja - SKUPAJ";"Redni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";4511.0;1891.0;2620.0;4342.0;1779.0;2563.0;4204.0;1717.0;2487.0;4507.0;1923.0;2584.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"Podroèje izobraževanja - SKUPAJ";16191.0;7031.0;9160.0;16858.0;7321.0;9537.0;17861.0;7742.0;10119.0;19502.0;8202.0;11300.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";1808.0;170.0;1638.0;1787.5;170.0;1617.5;1763.5;162.5;1601.0;1908.0;192.0;1716.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"02 Umetnost in humanistika";952.5;357.0;595.5;1078.0;385.5;692.5;1142.5;415.5;727.0;1082.0;418.0;664.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"03 Družbene vede, novinarstvo in informacijska znanost";515.5;227.0;288.5;547.5;207.5;340.0;606.0;225.0;381.0;961.0;345.0;616.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"04 Poslovne in upravne vede, pravo";4497.0;1858.0;2639.0;4477.0;1803.0;2674.0;4846.0;1971.0;2875.0;5279.0;2091.0;3188.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"05 Naravoslovje, matematika in statistika";430.0;209.0;221.0;481.0;244.0;237.0;523.0;257.0;266.0;534.0;252.0;282.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"06 Informacijske in komunikacijske tehnologije (IKT)";538.0;465.0;73.0;611.0;528.0;83.0;721.0;608.0;113.0;778.0;654.0;124.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";2214.0;1809.0;405.0;2349.0;1913.0;436.0;2437.0;1995.0;442.0;2428.0;1979.0;449.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";77.0;42.0;35.0;101.0;49.0;52.0;90.0;48.0;42.0;114.0;62.0;52.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"09 Zdravstvo in socialna varnost";3056.0;921.0;2135.0;3208.0;947.0;2261.0;3436.0;985.0;2451.0;4143.0;1158.0;2985.0
"Vrsta izobraževanja - SKUPAJ";"Izredni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";2103.0;973.0;1130.0;2218.0;1074.0;1144.0;2296.0;1075.0;1221.0;2275.0;1051.0;1224.0
"Višje strokovno";"Redni";"Podroèje izobraževanja - SKUPAJ";5964.0;3690.0;2274.0;5707.0;3646.0;2061.0;5540.0;3569.0;1971.0;5551.0;3619.0;1932.0
"Višje strokovno";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";-;-;-;-;-;-;-;-;-;-;-;-
"Višje strokovno";"Redni";"02 Umetnost in humanistika";464.0;284.0;180.0;466.0;288.0;178.0;476.0;279.0;197.0;455.0;256.0;199.0
"Višje strokovno";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";-;-;-;-;-;-;-;-;-;-;-;-
"Višje strokovno";"Redni";"04 Poslovne in upravne vede, pravo";671.0;191.0;480.0;585.0;176.0;409.0;567.0;196.0;371.0;557.0;187.0;370.0
"Višje strokovno";"Redni";"05 Naravoslovje, matematika in statistika";137.0;54.0;83.0;132.0;57.0;75.0;111.0;60.0;51.0;108.0;53.0;55.0
"Višje strokovno";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";511.0;463.0;48.0;495.0;458.0;37.0;503.0;458.0;45.0;517.0;477.0;40.0
